Vdrain,FG,gas conc. (ppm),FG/CuO/CS
9.4,1.66858E-06,10,3.73961E-06,,,,,,,
9.6,1.72502E-06,10,3.9241E-06,,,,,,,
9.8,1.79937E-06,10,4.12147E-06,,,,,,,
10,1.82969E-06,10,4.31444E-06,,,,,,,
0,6.36E-12,50,1.1957E-08,,,,,,,
0.2,1.716E-08,50,1.58634E-08,,,,,,,
0.4,3.42E-08,50,2.04949E-08,,,,,,,
0.6,0.000000051,50,2.69348E-08,,,,,,,
0.8,6.828E-08,50,3.57419E-08,,,,,,,
1,8.58E-08,50,4.63563E-08,,,,,,,
1.2,1.0356E-07,50,5.87666E-08,,,,,,,
1.4,1.21583E-07,50,7.39983E-08,,,,,,,
1.6,1.3968E-07,50,9.15442E-08,,,,,,,
1.8,1.60342E-07,50,1.12419E-07,,,,,,,
2,1.801E-07,50,1.35776E-07,,,,,,,
2.2,2.0095E-07,50,1.67661E-07,,,,,,,
2.4,2.22408E-07,50,1.98887E-07,,,,,,,
2.6,2.44976E-07,50,2.33071E-07,,,,,,,
2.8,2.70091E-07,50,2.7376E-07,,,,,,,
3,2.94865E-07,50,3.20991E-07,,,,,,,
3.2,3.2222E-07,50,3.71903E-07,,,,,,,
3.4,3.51161E-07,50,4.21506E-07,,,,,,,
3.6,3.80539E-07,50,4.83207E-07,,,,,,,
3.8,4.11251E-07,50,5.50975E-07,,,,,,,
4,4.46586E-07,50,6.25411E-07,,,,,,,
4.2,4.81928E-07,50,7.01438E-07,,,,,,,
4.4,5.20019E-07,50,7.81523E-07,,,,,,,
4.6,5.62908E-07,50,8.80254E-07,,,,,,,
4.8,6.06398E-07,50,9.78916E-07,,,,,,,
5,6.50575E-07,50,1.08653E-06,,,,,,,
5.2,6.96107E-07,50,1.19911E-06,,,,,,,
5.4,7.45894E-07,50,1.32159E-06,,,,,,,
5.6,8.07168E-07,50,1.45555E-06,,,,,,,
5.8,8.57581E-07,50,1.59142E-06,,,,,,,
6,9.14258E-07,50,1.72441E-06,,,,,,,
6.2,9.6705E-07,50,1.86205E-06,,,,,,,
6.4,1.0195E-06,50,2.00561E-06,,,,,,,
6.6,1.07051E-06,50,2.16191E-06,,,,,,,
6.8,1.1349E-06,50,2.31985E-06,,,,,,,
7,1.17831E-06,50,2.49166E-06,,,,,,,
7.2,1.23101E-06,50,2.67433E-06,,,,,,,
7.4,1.28187E-06,50,2.85062E-06,,,,,,,
7.6,1.34593E-06,50,3.03379E-06,,,,,,,
7.8,1.3939E-06,50,3.24082E-06,,,,,,,
8,1.45337E-06,50,3.43429E-06,,,,,,,
8.2,1.51205E-06,50,3.65349E-06,,,,,,,
8.4,1.60141E-06,50,3.85722E-06,,,,,,,
8.6,1.66212E-06,50,4.08604E-06,,,,,,,
8.8,1.71812E-06,50,4.35049E-06,,,,,,,
9,1.78286E-06,50,4.59648E-06,,,,,,,
9.2,1.83715E-06,50,4.87052E-06,,,,,,,
9.4,1.90694E-06,50,5.13759E-06,,,,,,,
9.6,1.97146E-06,50,5.39105E-06,,,,,,,
9.8,2.05643E-06,50,5.6622E-06,,,,,,,
10,2.09107E-06,50,5.92732E-06,,,,,,,
0,7.685E-12,500,1.73255E-08,,,,,,,
0.2,2.0735E-08,500,2.29857E-08,,,,,,,
0.4,4.1325E-08,500,2.96967E-08,,,,,,,
0.6,6.1625E-08,500,3.9028E-08,,,,,,,
0.8,8.2505E-08,500,5.17892E-08,,,,,,,
1,1.03675E-07,500,6.71693E-08,,,,,,,
1.2,1.25135E-07,500,8.51516E-08,,,,,,,
1.4,1.46913E-07,500,1.07222E-07,,,,,,,
1.6,1.6878E-07,500,1.32646E-07,,,,,,,
1.8,1.93746E-07,500,1.62893E-07,,,,,,,
2,2.1762E-07,500,1.96737E-07,,,,,,,
2.2,2.42814E-07,500,2.42937E-07,,,,,,,
2.4,2.68743E-07,500,2.88183E-07,,,,,,,
2.6,2.96013E-07,500,3.37716E-07,,,,,,,
2.8,3.2636E-07,500,3.96672E-07,,,,,,,
3,3.56295E-07,500,4.65109E-07,,,,,,,
3.2,3.8935E-07,500,5.38879E-07,,,,,,,
3.4,4.24319E-07,500,6.10754E-07,,,,,,,
3.6,4.59818E-07,500,7.00157E-07,,,,,,,
3.8,4.96928E-07,500,7.98352E-07,,,,,,,
4,5.39625E-07,500,9.06209E-07,,,,,,,
