Time(s),Electrode Distance (mm),LA Conc (mM),Resistance (Mohm)
20,5,1.11,0.0354
21,5,1.11,0.0354
22,5,1.11,0.0306
23,5,1.11,0.0322
24,5,1.11,0.0293
25,5,1.11,0.0294
26,5,1.11,0.0297
27,5,1.11,0.0292
28,5,1.11,0.0292
29,5,1.11,0.0292
30,5,1.11,0.0285
31,5,1.11,0.028
32,5,1.11,0.0267
33,5,1.11,0.0267
34,5,1.11,0.0267
35,5,1.11,0.0266
36,5,1.11,0.0265
37,5,1.11,0.0266
38,5,1.11,0.0262
39,5,1.11,0.0271
40,5,1.11,0.0266
41,5,1.11,0.0264
42,5,1.11,0.0261
43,5,1.11,0.0268
44,5,1.11,0.0279
45,5,1.11,0.0271
46,5,1.11,0.027
47,5,1.11,0.0269
48,5,1.11,0.0269
49,5,1.11,0.0269
50,5,1.11,0.0255
51,5,1.11,0.0239
52,5,1.11,0.0251
53,5,1.11,0.025
54,5,1.11,0.0251
55,5,1.11,0.025
56,5,1.11,0.025
57,5,1.11,0.025
58,5,1.11,0.025
59,5,1.11,0.025
60,5,1.11,0.025
61,5,1.11,0.025
62,5,1.11,0.025
63,5,1.11,0.0249
64,5,1.11,0.0249
65,5,1.11,0.0249
66,5,1.11,0.0249
67,5,1.11,0.0249
68,5,1.11,0.0249
69,5,1.11,0.0248
70,5,1.11,0.0248
71,5,1.11,0.0248
72,5,1.11,0.0248
73,5,1.11,0.0247
74,5,1.11,0.0247
75,5,1.11,0.0246
76,5,1.11,0.0246
77,5,1.11,0.0246
78,5,1.11,0.0245
79,5,1.11,0.0245
80,5,1.11,0.0243
81,5,1.11,0.0249
82,5,1.11,0.0249
83,5,1.11,0.0245
84,5,1.11,0.0244
85,5,1.11,0.0242
86,5,1.11,0.0243
87,5,1.11,0.0243
88,5,1.11,0.0243
89,5,1.11,0.024
90,5,1.11,0.0242
91,5,1.11,0.0241
92,5,1.11,0.0245
93,5,1.11,0.0243
94,5,1.11,0.0243
95,5,1.11,0.0243
96,5,1.11,0.0242
97,5,1.11,0.0242
98,5,1.11,0.0242
99,5,1.11,0.0242
100,5,1.11,0.0242
101,5,1.11,0.0242
102,5,1.11,0.0242
103,5,1.11,0.0242
104,5,1.11,0.0242
105,5,1.11,0.0241
106,5,1.11,0.0241
107,5,1.11,0.0241
108,5,1.11,0.0241
109,5,1.11,0.0241
110,5,1.11,0.0241
111,5,1.11,0.0241
112,5,1.11,0.0241
113,5,1.11,0.0241
114,5,1.11,0.024
115,5,1.11,0.024
116,5,1.11,0.024
117,5,1.11,0.0239
118,5,1.11,0.0239
119,5,1.11,0.0239
120,5,1.11,0.0238
6,7,1.11,0.265
7,7,1.11,0.253
8,7,1.11,0.254
9,7,1.11,0.177
10,7,1.11,0.127
11,7,1.11,0.123
12,7,1.11,0.125
13,7,1.11,0.125
14,7,1.11,0.124
15,7,1.11,0.113
16,7,1.11,0.11
17,7,1.11,0.109
18,7,1.11,0.108
19,7,1.11,0.108
20,7,1.11,0.108
21,7,1.11,0.107
22,7,1.11,0.0823
23,7,1.11,0.106
24,7,1.11,0.103
25,7,1.11,0.0705
26,7,1.11,0.0869
27,7,1.11,0.0944
28,7,1.11,0.0722
29,7,1.11,0.078
30,7,1.11,0.072
31,7,1.11,0.07
32,7,1.11,0.059
33,7,1.11,0.0261
34,7,1.11,0.0495
35,7,1.11,0.05
36,7,1.11,0.0494
37,7,1.11,0.0497
38,7,1.11,0.0491
39,7,1.11,0.0491
40,7,1.11,0.0492
41,7,1.11,0.049
42,7,1.11,0.0488
43,7,1.11,0.0487
44,7,1.11,0.0486
45,7,1.11,0.0486
46,7,1.11,0.0486
47,7,1.11,0.0487
48,7,1.11,0.0486
49,7,1.11,0.0487
50,7,1.11,0.0486
51,7,1.11,0.0487
52,7,1.11,0.0487
53,7,1.11,0.0488
54,7,1.11,0.0486
55,7,1.11,0.0486
56,7,1.11,0.0487
57,7,1.11,0.0488
58,7,1.11,0.0484
59,7,1.11,0.0486
60,7,1.11,0.0488
61,7,1.11,0.0483
62,7,1.11,0.0483
63,7,1.11,0.0483
64,7,1.11,0.0484
65,7,1.11,0.0483
66,7,1.11,0.0484
67,7,1.11,0.0485
68,7,1.11,0.0486
69,7,1.11,0.0487
70,7,1.11,0.0487
71,7,1.11,0.0487
72,7,1.11,0.0487
73,7,1.11,0.0486
74,7,1.11,0.0486
75,7,1.11,0.0486
76,7,1.11,0.0487
77,7,1.11,0.0487
78,7,1.11,0.0487
79,7,1.11,0.0486
80,7,1.11,0.0487
81,7,1.11,0.0487
82,7,1.11,0.0487
83,7,1.11,0.0487
84,7,1.11,0.0487
85,7,1.11,0.0486
86,7,1.11,0.0487
87,7,1.11,0.0487
88,7,1.11,0.0487
89,7,1.11,0.0487
90,7,1.11,0.0487
91,7,1.11,0.0487
92,7,1.11,0.0486
93,7,1.11,0.0485
94,7,1.11,0.0484
95,7,1.11,0.0484
96,7,1.11,0.0484
97,7,1.11,0.0485
98,7,1.11,0.0486
99,7,1.11,0.0485
100,7,1.11,0.0485
101,7,1.11,0.0485
102,7,1.11,0.0486
103,7,1.11,0.0486
104,7,1.11,0.0486
105,7,1.11,0.0486
106,7,1.11,0.0485
107,7,1.11,0.0485
