Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
124,81.2,1.11,5
125,81.2,1.11,5
126,81.2,1.11,5
127,81.2,1.11,5
128,81.2,1.11,5
129,81.2,1.11,5
130,81.2,1.11,5
131,81.2,1.11,5
132,81.2,1.11,5
133,81.2,1.11,5
134,81.2,1.11,5
135,81.2,1.11,5
136,81.2,1.11,5
137,81.2,1.11,5
138,81.2,1.11,5
139,81.2,1.11,5
140,81.2,1.11,5
1,81.2,1.11,7
2,81.2,1.11,7
3,81.2,1.11,7
4,81.2,1.11,7
5,81.2,1.11,7
6,81.2,1.11,7
7,81.2,1.11,7
8,81.2,1.11,7
9,81.2,1.11,7
10,81.2,1.11,7
11,81.2,1.11,7
12,81.2,1.11,7
13,81.2,1.11,7
14,81.2,1.11,7
15,81.2,1.11,7
16,81.2,1.11,7
17,81.2,1.11,7
18,81.2,1.11,7
19,81.2,1.11,7
20,81.2,1.11,7
21,81.2,1.11,7
22,81.2,1.11,7
23,81.2,1.11,7
24,81.2,1.11,7
25,81.2,1.11,7
26,81.2,1.11,7
27,81.2,1.11,7
28,81.2,1.11,7
29,81.2,1.11,7
30,81.2,1.11,7
31,81.2,1.11,7
32,81.2,1.11,7
33,81.2,1.11,7
34,81.2,1.11,7
35,81.2,1.11,7
36,81.2,1.11,7
37,81.2,1.11,7
38,81.2,1.11,7
39,81.2,1.11,7
40,81.2,1.11,7
41,81.2,1.11,7
42,81.2,1.11,7
43,81.2,1.11,7
44,81.2,1.11,7
45,81.2,1.11,7
46,81.2,1.11,7
47,81.2,1.11,7
48,81.2,1.11,7
49,81.2,1.11,7
50,81.2,1.11,7
51,81.2,1.11,7
52,81.2,1.11,7
53,81.2,1.11,7
54,81.2,1.11,7
55,81.2,1.11,7
56,81.2,1.11,7
57,81.2,1.11,7
58,81.2,1.11,7
59,81.2,1.11,7
60,81.2,1.11,7
61,81.2,1.11,7
62,81.2,1.11,7
63,81.2,1.11,7
64,81.2,1.11,7
65,81.2,1.11,7
66,81.2,1.11,7
67,81.2,1.11,7
68,81.2,1.11,7
69,81.2,1.11,7
70,81.2,1.11,7
71,81.2,1.11,7
72,81.2,1.11,7
73,81.2,1.11,7
74,81.2,1.11,7
75,81.2,1.11,7
76,81.2,1.11,7
77,81.2,1.11,7
78,81.2,1.11,7
79,81.2,1.11,7
80,81.2,1.11,7
81,81.2,1.11,7
82,81.2,1.11,7
83,81.2,1.11,7
84,81.2,1.11,7
85,81.2,1.11,7
86,81.2,1.11,7
87,81.2,1.11,7
88,81.2,1.11,7
89,81.2,1.11,7
90,81.2,1.11,7
91,81.2,1.11,7
92,81.2,1.11,7
93,81.2,1.11,7
94,81.2,1.11,7
95,81.2,1.11,7
96,81.2,1.11,7
97,81.2,1.11,7
98,81.2,1.11,7
99,81.2,1.11,7
100,81.2,1.11,7
101,81.2,1.11,7
102,81.2,1.11,7
103,81.2,1.11,7
104,81.2,1.11,7
105,81.2,1.11,7
106,81.2,1.11,7
107,81.2,1.11,7
108,81.2,1.11,7
109,81.2,1.11,7
110,81.2,1.11,7
111,81.2,1.11,7
112,81.2,1.11,7
113,81.2,1.11,7
114,81.2,1.11,7
115,81.2,1.11,7
116,81.2,1.11,7
117,81.2,1.11,7
118,81.2,1.11,7
119,81.2,1.11,7
120,81.2,1.11,7
121,81.2,1.11,7
122,81.2,1.11,7
123,81.2,1.11,7
124,81.2,1.11,7
125,81.2,1.11,7
126,81.2,1.11,7
127,81.2,1.11,7
128,81.2,1.11,7
129,81.2,1.11,7
130,81.2,1.11,7
131,81.2,1.11,7
132,81.2,1.11,7
133,81.2,1.11,7
134,81.2,1.11,7
135,81.2,1.11,7
136,81.2,1.11,7
137,81.2,1.11,7
138,81.2,1.11,7
139,81.2,1.11,7
140,81.2,1.11,7
1,81.2,0.0,1
2,81.2,0.0,1
3,81.2,0.0,1
4,81.2,0.0,1
5,81.2,0.0,1
6,81.2,0.0,1
7,81.2,0.0,1
8,81.2,0.0,1
9,81.2,0.0,1
10,81.2,0.0,1
11,81.2,0.0,1
12,81.2,0.0,1
13,81.2,0.0,1
14,81.2,0.0,1
15,81.2,0.0,1
16,81.2,0.0,1
17,81.2,0.0,1
18,81.2,0.0,1
19,81.2,0.0,1
20,81.2,0.0,1
21,81.2,0.0,1
22,81.2,0.0,1
23,81.2,0.0,1
24,81.2,0.0,1
25,81.2,0.0,1
26,81.2,0.0,1
27,81.2,0.0,1
28,81.2,0.0,1
29,81.2,0.0,1
30,81.2,0.0,1
31,81.2,0.055,1
32,81.2,0.055,1
33,81.2,0.055,1
34,81.2,0.055,1
35,81.2,0.055,1
36,81.2,0.055,1
37,81.2,0.055,1
