Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
726,81.2,11.1,1
727,81.2,11.1,1
728,81.2,11.1,1
729,81.2,11.1,1
730,81.2,11.1,1
731,81.2,11.1,1
732,81.2,11.1,1
733,81.2,11.1,1
734,81.2,11.1,1
735,81.2,11.1,1
736,81.2,11.1,1
737,81.2,11.1,1
738,81.2,11.1,1
739,81.2,11.1,1
740,81.2,11.1,1
741,81.2,11.1,1
742,81.2,11.1,1
743,81.2,11.1,1
744,81.2,11.1,1
745,81.2,11.1,1
746,81.2,11.1,1
747,81.2,11.1,1
748,81.2,11.1,1
749,81.2,11.1,1
750,81.2,11.1,1
